,0,1,2,3,4,5,6
1,75,76,76,77,77,75,77
2,88,88,68,73,88,74,73
3,68,88,68,68,68,68,88
4,68,77,80,77,68,80,73
5,68,88,68,88,80,80,80
6,80,80,80,80,68,80,80
7,87,80,68,68,87,80,87
8,68,77,68,76,76,76,76
9,68,80,80,68,80,80,80
10,89,89,89,89,89,89,69
11,88,88,78,78,88,78,78
12,68,88,68,78,78,88,68
13,77,77,77,77,68,68,77
14,80,80,67,86,80,86,80
15,69,80,80,69,80,69,69
16,86,68,68,77,86,77,86
17,83,73,69,69,78,83,88
18,80,68,80,68,68,80,68
19,80,68,68,80,68,80,80
20,80,86,68,80,86,80,80
21,77,77,77,84,69,77,77
22,73,73,69,73,80,69,89
23,88,80,80,88,80,80,80
24,69,69,69,73,73,73,78
25,69,69,69,77,77,69,69
26,68,77,68,77,77,77,77
27,68,73,73,68,68,73,73
28,88,80,88,68,88,80,80
29,68,68,77,68,78,77,73
30,80,80,40,80,80,40,40
31,80,80,89,68,88,89,68
32,79,79,67,67,67,79,67
33,73,88,88,86,88,86,73
34,80,77,68,77,80,77,68
35,76,76,76,76,68,74,76
36,80,80,68,80,80,80,86
37,80,67,67,67,67,67,80
38,87,68,87,68,88,87,88
39,87,87,87,78,87,73,68
40,68,68,68,68,68,68,68
41,77,77,68,68,68,68,77
42,67,67,77,67,77,77,77
43,67,88,88,88,88,80,80
44,80,88,67,67,67,67,88
45,67,80,80,80,80,77,67
46,80,67,67,67,80,80,67
47,80,77,77,77,80,77,67
48,79,67,67,79,79,67,79
49,86,77,67,86,67,67,77
50,74,89,87,74,89,74,50
51,80,80,90,90,90,80,90
52,80,67,67,80,67,67,80
53,73,88,73,67,88,88,73
54,68,68,73,80,73,80,68
55,88,80,80,78,67,80,86
56,80,78,80,80,80,78,67
57,67,67,67,67,80,80,80
58,80,80,67,80,80,67,67
59,80,80,80,67,67,67,80
60,80,80,80,66,66,80,80
61,67,67,67,67,80,80,67
62,73,87,87,73,87,73,67
63,76,76,76,67,67,76,77
64,80,67,67,67,67,80,67
65,80,66,80,66,77,66,80
66,86,86,68,77,86,68,86
67,77,77,77,77,67,67,67
68,67,86,88,73,73,73,67
69,86,89,89,86,89,77,86
70,67,86,67,86,77,77,86
71,76,75,76,76,84,75,84
72,78,78,67,78,78,77,81
73,73,67,67,90,73,73,77
74,73,80,73,73,80,38,80
75,67,67,67,79,79,79,79
76,66,66,78,66,66,78,80
77,80,88,66,80,80,88,66
78,66,76,74,76,80,80,74
79,66,66,66,66,73,73,73
80,89,77,77,77,89,89,66
81,67,67,77,86,67,77,77
82,87,74,73,87,73,66,66
83,77,66,66,66,77,77,77
84,87,83,67,87,83,67,67
85,77,67,67,77,77,77,77
86,80,66,66,80,80,66,66
87,80,80,80,66,66,80,66
88,66,66,77,77,77,86,77
89,87,82,87,55,87,55,82
90,77,66,77,66,86,77,88
91,84,77,76,66,76,76,66
92,66,86,86,86,86,78,73
93,69,69,69,69,80,80,69
94,77,77,63,76,63,63,77
95,84,84,77,77,84,75,84
96,64,64,64,73,73,64,88
97,80,63,90,63,90,63,63
98,64,88,64,80,80,64,80
99,75,76,10,76,10,84,75
100,88,88,70,78,70,70,78
101,75,54,87,73,87,54,54
102,76,76,75,75,43,75,75
103,69,84,76,75,69,76,76
104,77,77,69,69,69,69,69
105,69,77,77,69,69,69,77
106,88,88,88,69,69,88,88
107,80,80,80,80,80,80,69
108,77,69,69,69,69,77,77
109,69,69,87,77,87,69,69
110,89,74,73,73,89,74,77
111,69,86,77,77,69,77,86
112,74,76,76,74,74,69,74
113,80,69,69,80,80,80,69
114,75,69,75,75,69,69,69
115,69,69,69,79,79,69,79
116,77,77,77,69,77,77,77
117,74,88,74,69,73,74,69
118,73,73,69,88,74,73,88
119,67,79,79,79,79,79,79
120,69,78,77,69,78,78,78
121,69,89,73,69,69,69,73
122,69,77,77,77,69,77,77
123,83,69,83,77,77,69,69
124,69,69,80,69,85,85,69
125,80,69,69,86,86,80,86
126,80,69,69,69,80,69,80
127,73,80,73,45,78,80,78
128,88,69,73,73,69,73,69
129,69,69,88,78,86,88,69
130,78,78,69,78,78,69,78
131,86,86,80,34,34,86,86
132,74,76,80,80,80,74,74
133,80,12,80,12,89,12,12
134,14,14,14,14,80,80,80
135,85,80,41,88,85,41,88
136,80,12,12,12,80,80,80
137,69,80,80,80,69,69,80
138,69,69,77,76,77,77,77
139,76,42,42,76,77,77,42
140,66,74,76,74,76,74,74
141,76,27,81,87,87,76,76
142,84,74,76,44,74,84,84
143,38,84,38,38,38,38,38
144,73,61,73,61,88,61,61
145,88,88,88,87,73,87,88
146,69,80,69,80,80,80,69
147,88,73,88,88,73,88,73
148,74,73,73,69,74,74,73
149,69,80,80,80,69,80,80
150,77,80,69,80,69,69,69
151,77,44,44,76,76,44,76
152,87,77,87,46,46,87,87
153,77,61,77,61,61,61,77
154,77,77,52,52,52,77,52
155,86,86,86,60,84,86,60
156,88,78,78,78,65,65,65
157,59,80,80,89,89,59,89
158,77,77,62,77,62,77,62
159,65,88,88,88,65,88,65
160,65,80,80,65,80,80,80
161,73,86,59,59,86,73,59
162,80,54,80,80,80,80,54
163,47,77,47,47,77,47,77
164,62,62,74,73,73,73,88
165,80,80,59,59,80,59,59
166,80,80,59,80,59,80,59
167,53,53,53,53,77,77,53
168,47,77,77,47,77,47,77
169,75,66,75,75,75,66,77
170,80,80,80,80,77,86,86
171,77,87,87,87,87,87,64
172,86,53,87,80,89,80,87
173,74,74,73,86,86,73,77
174,73,73,54,74,54,74,73
175,87,87,87,58,58,87,58
176,59,59,88,87,88,89,87
177,90,73,90,39,39,39,90
178,80,80,80,80,30,80,30
179,44,87,87,87,44,87,44
180,52,80,89,80,52,89,89
181,70,70,86,74,70,70,73
182,80,80,80,78,78,80,63
183,73,73,87,73,88,52,52
184,66,66,83,77,77,87,66
185,83,83,88,33,33,86,33
186,84,73,84,73,84,53,53
187,73,80,80,73,47,78,73
188,89,89,80,80,60,73,80
189,75,77,65,75,77,75,65
190,62,89,89,80,89,62,89
191,80,57,57,85,80,80,57
192,80,53,53,80,53,80,80
193,56,56,80,80,80,56,80
194,78,46,77,77,77,78,77
195,87,88,73,73,57,87,73
196,62,80,62,80,80,80,80
197,86,86,40,86,80,86,40
198,63,88,63,88,63,88,63
199,30,30,89,30,80,30,80
200,83,53,83,53,83,53,53
201,83,74,77,77,83,74,77
202,86,77,77,66,66,77,86
203,90,90,65,65,65,90,90
204,77,87,77,77,87,77,77
205,89,89,89,80,89,43,80
206,61,74,61,88,75,87,87
207,80,73,63,80,73,63,63
208,47,77,47,47,83,77,77
209,77,77,84,57,77,57,80
210,62,73,74,74,74,74,73
211,89,89,89,43,89,43,43
212,61,61,80,61,61,80,61
213,86,80,59,59,80,59,59
214,84,89,55,80,55,84,80
215,62,80,62,62,80,62,62
216,77,86,62,77,77,86,77
217,83,86,83,86,83,86,65
218,88,64,64,88,64,88,64
219,57,83,83,83,57,83,83
220,86,86,86,77,69,69,69
221,80,80,69,69,69,80,80
222,87,74,87,74,73,69,87
223,69,80,69,80,88,88,80
224,69,69,80,80,69,80,80
225,76,69,76,77,77,69,69
226,73,63,63,63,63,73,88
227,64,87,64,87,73,87,74
228,87,87,74,73,74,74,87
229,74,57,73,73,87,87,57
230,87,74,87,59,87,74,87
231,73,77,77,74,77,73,74
232,73,90,73,77,61,61,61
233,65,65,73,73,73,65,65
234,83,73,48,83,83,48,83
235,73,73,73,73,69,77,69
236,80,77,80,77,80,80,69
237,86,80,86,69,80,86,69
238,77,60,77,60,77,77,77
239,80,65,65,78,78,78,65
240,69,75,77,77,75,69,77
241,89,86,89,89,65,73,73
242,77,77,70,70,70,77,70
243,77,76,77,76,77,70,77
244,80,73,73,73,70,80,73
245,70,88,89,89,73,88,80
246,86,80,70,80,70,70,70
247,74,76,76,73,74,74,76
248,78,70,77,78,77,77,78
249,77,77,77,70,77,70,77
250,73,87,87,73,87,70,70
251,77,77,77,77,70,77,77
252,87,73,70,88,74,73,88
253,70,70,70,80,80,80,86
254,73,78,74,73,70,70,74
255,86,70,70,86,77,86,77
256,86,70,86,86,70,77,70
257,70,73,70,77,70,70,87
258,80,87,70,80,70,70,70
259,76,77,70,77,70,77,76
260,87,88,85,73,73,70,87
261,77,77,70,77,77,77,77
262,80,80,80,80,80,70,80
263,73,73,70,70,73,70,73
264,70,70,70,87,87,87,88
265,73,63,88,88,73,88,63
266,70,70,73,70,70,70,70
267,72,0,0,72,0,0,0
268,70,86,80,70,80,80,80
269,77,70,77,77,77,70,77
270,80,88,88,80,80,87,70
271,74,73,74,73,87,70,74
272,70,80,70,80,80,80,70
273,88,73,78,68,78,78,78
274,86,77,86,77,86,77,86
275,86,86,68,86,86,80,80
276,80,80,86,86,80,86,80
277,80,68,68,68,80,68,68
278,80,80,80,86,80,86,80
279,68,68,68,68,68,68,68
280,86,69,80,69,69,86,69
281,88,88,88,88,67,88,88
282,80,69,80,69,69,69,69
283,86,86,69,69,86,80,86
284,69,69,69,77,86,69,69
285,69,80,69,80,80,80,69
286,86,89,89,86,89,89,86
287,80,69,80,69,80,69,80
288,83,88,69,88,83,88,88
289,69,80,69,69,69,80,84
290,77,77,70,77,77,70,77
291,85,85,88,70,88,70,70
292,70,80,70,80,80,70,80
293,70,70,70,70,70,78,78
294,77,77,77,77,77,77,70
295,88,70,88,88,88,88,88
296,80,80,80,80,70,70,70
297,80,70,70,70,80,80,70
298,70,88,70,87,70,87,73
299,78,80,70,80,78,80,82
300,88,73,73,73,73,73,70
301,77,77,77,77,70,77,77
302,88,88,82,82,85,88,70
303,80,70,80,80,80,80,70
304,76,76,74,74,76,74,69
305,70,70,70,70,80,80,70
306,86,80,70,86,80,86,70
307,85,78,70,78,78,85,88
308,81,76,81,70,81,80,80
309,78,70,70,78,78,70,78
310,70,70,70,80,80,70,80
311,70,88,70,80,86,80,86
312,80,80,85,77,78,80,77
313,86,86,70,73,70,70,73
314,70,73,70,70,76,73,70
315,80,88,71,71,80,88,71
316,77,80,77,77,80,70,80
317,80,66,80,66,66,66,80
318,89,80,89,80,66,89,89
319,86,77,86,69,86,84,77
